"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "TOML", "JavaScript", "HTML", "JSON", "PostCSS", "SCSS", "XML", "vue", "YAML", "comment", "blank", "total"
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\types\player-command.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 30
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\types\player.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\types\resource.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 13, 48
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\types\story.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 85
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\types\visual-editor.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 69
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\src\vue3-smooth-dnd.d.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 54
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\test\basic.test.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\test\component.test.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\tsconfig.json", "JSON with Comments", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\typed-router.d.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 26
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\uno.config.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\notnotype\Documents\CodeRepository\GithubProjects\blue-archive\apps\blue-archive-story-editor\vite.config.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 10, 83
"Total", "-", 3232, 31, 55, 10, 7, 25, 683816, 75, 1, 9, 1438, 36, 331, 643, 689709
